SL,PAN Style,Image,Cat Lvl_1,Cat Lvl_2,Cat Lvl_3,Item,Color,Cost (€),Price (€),S,M,L,XL,XXL,3XL,6,8,10,12,14,16,18,19,20,21,22,23,24,48,50,52,54,56,58,62,68,74,80,86,92
97,PAN2022089C,,,,Padding Jacket,Womens Padding Jacket,Metallic - Burgandy,8.17,19.52,-,20,14,11, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
98,PAN2022089A,,,,Padding Jacket,Womens Padding Jacket,OLIVE,8.17,19.52,-,12,10,7, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
99,PAN2022089D,,,,Padding Jacket,Womens Padding Jacket,Metallic - Silver ,8.17,19.52,-,17,16, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
100,PAN2022089E,,,,Padding Jacket,Womens Padding Jacket,Green Bay,8.17,19.52,-,16,6,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
101,PAN2022089F,,,,Padding Jacket,Womens Padding Jacket,Caribou,8.17,19.52,-,17,13,8, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
102,PAN2022089G,,,,Padding Jacket,Womens Padding Jacket,Shopping Bag,8.17,19.52,-,17,15,12, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
31,PAN2022090,,Women,Top,Padding Jacket,Womens Padding Jacket,BURGANDY,7.98,19.26,-,20,13,7, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
32,PAN2022091,,Women,Top,Padding Jacket,Womens Padding Jacket,SILVER,6.63,17.47,-,16,15,9, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
33,PAN2022007,,Women,Top,Sweater,Womens Sweater,Paisely Purple ,3.02,12.65,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
106,PAN2022007B,,,,Sweater,Womens Sweater,Rose Dawn,3.02,12.65,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
108,PAN2022007D,,,,Sweater,Womens Sweater,SMOKE GREY,3.02,12.65,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
109,PAN2022007E,,,,Sweater,Womens Sweater,Mustang,3.02,12.65,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
110,PAN2022007F,,,,Sweater,Womens Sweater,Surf The Web,3.02,12.65,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
111,PAN2022007G,,,,Sweater,Womens Sweater,Terracotta,3.02,12.65,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
112,PAN2022007H,,,,Sweater,Womens Sweater,Maroon,3.02,12.65,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
113,PAN2022007I,,,,Sweater,Womens Sweater,FOUR LEAF CLOVER,3.02,12.65,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
114,PAN2022007J,,,,Sweater,Womens Sweater,lt grey mel,3.02,12.65,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
115,PAN2022007K,,,,Sweater,Womens Sweater,Fuchia Purple,3.02,12.65,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
116,PAN2022007L,,,,Sweater,Womens Sweater,BLACK,3.02,12.65,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
117,PAN2022007M,,,,Sweater,Womens Sweater,Potent purple,3.02,12.65,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
118,PAN2022007N,,,,Sweater,Womens Sweater,dark citron ,3.02,12.65,-,7,8,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
119,PAN2022007O,,,,Sweater,Womens Sweater,Riverside,3.02,12.65,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
120,PAN2022007P,,,,Sweater,Womens Sweater,Blueprint,3.02,12.65,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
121,PAN2022007Q,,,,Sweater,Womens Sweater,STUCCO,3.02,12.65,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
122,PAN2022007R,,,,Sweater,Womens Sweater,WHITE,3.02,12.65,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
34,PAN2022008,,Women,Top,Sweater,Womens Sweater,WHITE,4.02,13.98,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
124,PAN2022008B,,,,Sweater,Womens Sweater,BLACK,4.02,13.98,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
125,PAN2022008C,,,,Sweater,Womens Sweater,SMOKE GREY,4.02,13.98,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
126,PAN2022008D,,,,Sweater,Womens Sweater,Sprucestone,4.02,13.98,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
127,PAN2022008E,,,,Sweater,Womens Sweater,Valerian,4.02,13.98,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
128,PAN2022008F,,,,Sweater,Womens Sweater,Minion Yellow,4.02,13.98,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
129,PAN2022008G,,,,Sweater,Womens Sweater,Bright Marigold,4.02,13.98,-,7,1,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
130,PAN2022008H,,,,Sweater,Womens Sweater,Fuchia Purple,4.02,13.98,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
35,PAN2022009,,Women,Top,Sweater,Womens Sweater,WHITE,3.54,13.35,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
132,PAN2022009B,,,,Sweater,Womens Sweater,BLACK,3.54,13.35,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
133,PAN2022009C,,,,Sweater,Womens Sweater,mid grey mel,3.54,13.35,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
134,PAN2022009D,,,,Sweater,Womens Sweater,Blueprint,3.54,13.35,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
135,PAN2022009E,,,,Sweater,Womens Sweater,Brown Mel,3.54,13.35,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
136,PAN2022009F,,,,Sweater,Womens Sweater,Mustard,3.54,13.35,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
137,PAN2022009G,,,,Sweater,Womens Sweater,Valerian,3.54,13.35,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
138,PAN2022009H,,,,Sweater,Womens Sweater,Serenity,3.54,13.35,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
139,PAN2022009I,,,,Sweater,Womens Sweater,sprucestone,3.54,13.35,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
36,PAN2022011,,Women,Top,Sweater,Womens Sweater,Peacoat Blue,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
141,PAN2022011B,,,,Sweater,Womens Sweater,Stucco,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
142,PAN2022011C,,,,Sweater,Womens Sweater,charcoal mel,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
143,PAN2022011D,,,,Sweater,Womens Sweater,Four Leaf Clover,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
144,PAN2022011E,,,,Sweater,Womens Sweater,Bright Marigold,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
145,PAN2022011F,,,,Sweater,Womens Sweater,Bubblegum,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
146,PAN2022011G,,,,Sweater,Womens Sweater,Pale Banana,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
147,PAN2022011H,,,,Sweater,Womens Sweater,Blueprint,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
148,PAN2022011I,,,,Sweater,Womens Sweater,lt grey mel,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
149,PAN2022011J,,,,Sweater,Womens Sweater,Burgandy,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
150,PAN2022011K,,,,Sweater,Womens Sweater,Pistachio Shell,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
151,PAN2022011L,,,,Sweater,Womens Sweater,Spring Bud,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
152,PAN2022011M,,,,Sweater,Womens Sweater,Amazon,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
153,PAN2022011N,,,,Sweater,Womens Sweater,Black,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
154,PAN2022011O,,,,Sweater,Womens Sweater,Amber Yellow,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
155,PAN2022011P,,,,Sweater,Womens Sweater,Cherry Tomato,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
156,PAN2022011Q,,,,Sweater,Womens Sweater,peony,3.26,12.97,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
37,PAN2022010A,,Women,Top,Sweater,Womens Sweater,Blueprint + White,3.78,13.67,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022010B,,,,Sweater,Womens Sweater,Burgundy + White,3.78,13.67,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
38,PAN2022010B,,Women,Top,Sweater,Womens Sweater,Burgundy + White,3.78,13.67, -   ,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,,,,,,,Blue + White,3.78,13.67, -   ,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
39,PAN2022010C,,Women,Top,Sweater,Womens Sweater,BLACK /WHITE,3.78,13.67, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
40,PAN2022012,,Women,Top,Sweater,Womens Sweater,Stucco,2.93,12.53,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
162,PAN2022012B,,,,Sweater,Womens Sweater,Black,2.93,12.53,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
163,PAN2022012C,,,,Sweater,Womens Sweater,Orange Peel,2.93,12.53,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
164,PAN2022012D,,,,Sweater,Womens Sweater,Blue Haze,2.93,12.53,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
165,PAN2022012F,,,,Sweater,Womens Sweater,White,2.93,12.53,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
167,PAN2022012H,,,,Sweater,Womens Sweater,Potent Purple,2.93,12.53,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
168,PAN2022012I,,,,Sweater,Womens Sweater,Blue Coral,2.93,12.53,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
169,PAN2022012J,,,,Sweater,Womens Sweater,Trekking Green,2.93,12.53,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
170,PAN2022012K,,,,Sweater,Womens Sweater,Blueprint,2.93,12.53,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
41,PAN2022013,,Women,Top,Sweater,Womens Sweater,Black + White,3.16,12.84,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
172,PAN2022013B,,,,Sweater,Womens Sweater,Burgandy + White,3.16,12.84,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
173,PAN2022013C,,,,Sweater,Womens Sweater,Blueprint + White,3.16,12.84,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
174,PAN2022013D,,,,Sweater,Womens Sweater,Fragrant Lilac + White,3.16,12.84,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
175,PAN2022013E,,,,Sweater,Womens Sweater,Sprucestone + WHITE,3.16,12.84,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
176,PAN2022013F,,,,Sweater,Womens Sweater,Serenity + WHITE,3.16,12.84,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
42,PAN2022014,,Women,Top,Sweater,Womens Sweater,BLACK,4.02,13.98,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
43,PAN2022015,,Women,Top,Sweater,Womens Sweater,Bright Marigold + Potent Purple,4.7,14.89,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
44,PAN2022016,,Women,Top,Sweater,Womens Sweater,Omphalodes + Minion Yellow,4.7,14.89,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
45,PAN2022017,,Women,Top,Sweater,Womens Sweater,Multicolor,3.99,13.95,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
46,PAN2022018A,,Women,Top,Sweater,Womens Sweater,Fuchia Purple,4.7,14.89,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
47,PAN2022018B,,Women,Top,Sweater,Womens Sweater,Sproustone,4.7,14.89,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
48,PAN2022018C,,Women,Top,Sweater,Womens Sweater,Bombay Brown,4.7,14.89,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
49,PAN2022022,,Women,Top,Sweater,Womens Sweater,MULTICOLOR,4.7,14.89, - , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
50,PAN2022023,,Women,Top,Sweater,Womens Sweater,Blue Coral,3.99,13.95,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
51,PAN2022024,,Women,Top,Sweater,Womens Sweater,Paisely Purple,3.99,13.95,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
52,PAN2022025,,Women,Top,Sweater,Womens Sweater,Dark Citron ,4.7,14.89,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
53,PAN2022026,,Women,Top,Sweater,Womens Sweater,Paisely Purple ,4.7,14.89,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
54,PAN2022027,,Women,Top,Sweater,Womens Sweater,Bright Marigold,4.7,14.89,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
55,PAN2022028,,Women,Top,Sweater,Womens Sweater,Delphinium Blue,4.7,14.89,-,7,8, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
56,PAN2022029,,Women,Top,Sweater,Womens Sweater,Black + Fuschia Purple,3.99,13.95,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
57,PAN2022030,,Women,Top,Sweater,Womens Sweater,Purple + Amber Yellow,3.99,13.95,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
58,PAN2022031,,Women,Top,Sweater,Womens Sweater,Dark Citron + Black,3.99,13.95,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
59,PAN2022032,,Women,Top,Sweater,Womens Sweater,Peony + Bubblegum,3.99,13.95,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
60,PAN2022033,,Women,Top,Sweater,Womens Sweater,Mulberry Purple,4.7025,14.89,-,7,3,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
61,PAN2022034,,Women,Top,Sweater,Womens Sweater,TERRA CITTA/Desert Sand,4.7025,14.89,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
62,PAN2022035,,Women,Top,Sweater,Womens Sweater,Trekking Green,4.7025,14.89,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
63,PAN2022036,,Women,Top,Sweater,Womens Sweater,Shopping Bag,4.7025,14.89,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
64,PAN2022037,,Women,Top,Sweater,Womens Sweater,Little Boy Blue + Kelly Green,4.7025,14.89,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
65,PAN2022038,,Women,Top,Sweater,Womens Sweater,Orange Peel + Fuchia Purple,4.7025,14.89,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
66,PAN2022039,,Women,Top,Sweater,Womens Sweater,Black,5.7,16.22,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
67,PAN2022040,,Women,Top,Sweater,Womens Sweater,Burgandy,5.7,16.22,-,7,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
